Jobid	Jobname	Time1	Startime	Lock	energy	node1	nodo2	nodo3	nodo4	nodo5	nodo6	nodo7	nodo8	nodo9	nodo10	nodo11	nodo12	nodo13	nodo14	nodo15	nodo16
889438	SPKFT8_nf8_cp400_tnp408_ms31680_double_lbn_r1_W8_20231128_101615	2023-11-29 01:06:06	1701216356	D	0.02790	cresco6x107	cresco6x289	cresco6x120	cresco6x186	cresco6x025	cresco6x222	cresco6x224	cresco6x074	cresco6x065							
889439	IMeCOFT0_cp400_tnp400_ms31680_single_lby_r1_W8_20231128_101615	2023-11-29 01:07:10	1701216421	D	0.13913	cresco6x328	cresco6x184	cresco6x048	cresco6x087	cresco6x189	cresco6x145	cresco6x213	cresco6x319	cresco6x090							
889440	SPKFT0_cp400_tnp400_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:10:47	1701216637	D	0.01608	cresco6x279	cresco6x119	cresco6x296	cresco6x120	cresco6x133	cresco6x306	cresco6x340	cresco6x060	cresco6x061							
889441	IMeCOFT1_nf0_cp400_tnp420_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:11:36	1701216687	D	0.11981	cresco6x131	cresco6x138	cresco6x033	cresco6x074	cresco6x078	cresco6x081	cresco6x065	cresco6x097	cresco6x224							
889442	SPKFT1_nf0_cp400_tnp401_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:14:46	1701216876	D	0.01627	cresco6x106	cresco6x285	cresco6x295	cresco6x144	cresco6x319	cresco6x328	cresco6x337	cresco6x186	cresco6x195							
889443	IMeCOFT1_nf1_cp400_tnp420_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:15:37	1701216927	D	0.12490	cresco6x296	cresco6x122	cresco6x133	cresco6x139	cresco6x061	cresco6x090	cresco6x067	cresco6x105	cresco6x153							
889444	SPKFT1_nf1_cp400_tnp401_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:18:51	1701217121	D	0.01884	cresco6x033	cresco6x211	cresco6x078	cresco6x097	cresco6x106	cresco6x186	cresco6x295	cresco6x307	cresco6x328							
889445	IMeCOFT2_nf0_cp400_tnp440_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:19:46	1701217177	D	0.15721	cresco6x065	cresco6x074	cresco6x248	cresco6x107	cresco6x111	cresco6x195	cresco6x060	cresco6x269	cresco6x277	cresco6x138						
889446	SPKFT2_nf0_cp400_tnp402_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:23:31	1701217401	D	0.01648	cresco6x295	cresco6x122	cresco6x133	cresco6x139	cresco6x144	cresco6x307	cresco6x153	cresco6x316	cresco6x319							
889447	IMeCOFT2_nf2_cp400_tnp440_ms31680_single_lby_r1_W8_20231128_101616	2023-11-29 01:24:21	1701217451	D	0.12106	cresco6x285	cresco6x296	cresco6x328	cresco6x337	cresco6x192	cresco6x025	cresco6x214	cresco6x061	cresco6x131	cresco6x067						
889448	SPKFT2_nf2_cp400_tnp402_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:27:21	1701217631	D	0.01586	cresco6x106	cresco6x107	cresco6x108	cresco6x289	cresco6x119	cresco6x120	cresco6x146	cresco6x189	cresco6x206							
889449	IMeCOFT4_nf0_cp400_tnp480_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:28:12	1701217683	D	0.14105	cresco6x122	cresco6x133	cresco6x144	cresco6x145	cresco6x307	cresco6x060	cresco6x225	cresco6x073	cresco6x074	cresco6x078						
889450	SPKFT4_nf0_cp400_tnp404_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:31:57	1701217907	D	0.01651	cresco6x106	cresco6x295	cresco6x296	cresco6x132	cresco6x319	cresco6x328	cresco6x053	cresco6x090	cresco6x093							
889451	IMeCOFT4_nf4_cp400_tnp480_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:32:48	1701217958	D	0.13721	cresco6x277	cresco6x120	cresco6x203	cresco6x097	cresco6x206	cresco6x140	cresco6x111	cresco6x269	cresco6x067	cresco6x267						
889452	SPKFT4_nf4_cp400_tnp404_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:36:03	1701218153	D	0.01687	cresco6x289	cresco6x131	cresco6x307	cresco6x316	cresco6x319	cresco6x192	cresco6x214	cresco6x060	cresco6x061							
