jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
901239	cresco6x021	Wed  6 Dec 16:04:30 CET 2023	1701875070	130.00	100.00	11.00	0.00	0.00	0.00	0.00	18.00	38.00	33.00	29.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72808		0.00008
901239	cresco6x192	Wed  6 Dec 16:04:28 CET 2023	1701875068	130.00	90.00	13.00	0.00	0.00	0.00	0.00	18.00	38.00	36.00	30.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6784.00000	7168.00000	6784.00000	7168.00000	5120.00000	5120.00000	225.90668		0.00000
901239	cresco6x199	Wed  6 Dec 16:04:28 CET 2023	1701875068	130.00	100.00	9.00	0.00	0.00	0.00	0.00	18.00	35.00	35.00	37.00	12.00	6912.00000	7040.00000	9344.00000	0.00000	9344.00000	9856.00000	9344.00000	9728.00000	6784.00000	6912.00000	212.90353		0.00000
901239	cresco6x021	Wed  6 Dec 16:04:28 CET 2023	1701875068	130.00	100.00	11.00	0.00	0.00	0.00	0.00	18.00	38.00	33.00	29.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72800		0.00000
901240	cresco6x021	Wed  6 Dec 16:05:07 CET 2023	1701875107	130.00	100.00	11.00	7.00	0.00	0.00	0.00	17.00	37.00	34.00	28.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72951		0.00003
901240	cresco6x021	Wed  6 Dec 16:05:11 CET 2023	1701875111	130.00	100.00	11.00	7.00	0.00	0.00	0.00	17.00	38.00	34.00	28.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72966		0.00004
901240	cresco6x202	Wed  6 Dec 16:05:11 CET 2023	1701875111	140.00	100.00	9.00	0.00	17.00	0.00	0.00	18.00	40.00	33.00	23.00	41.00	6272.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8320.00000	8704.00000	6144.00000	6272.00000	221.69020		0.00004
901240	cresco6x021	Wed  6 Dec 16:05:10 CET 2023	1701875110	130.00	100.00	11.00	7.00	0.00	0.00	0.00	17.00	37.00	34.00	28.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72962		0.00003
901240	cresco6x202	Wed  6 Dec 16:05:09 CET 2023	1701875109	140.00	100.00	9.00	0.00	17.00	0.00	0.00	18.00	40.00	33.00	23.00	41.00	6272.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8320.00000	8704.00000	6144.00000	6272.00000	221.69016		0.00008
901240	cresco6x021	Wed  6 Dec 16:05:08 CET 2023	1701875108	130.00	100.00	11.00	7.00	0.00	0.00	0.00	17.00	37.00	34.00	28.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72959		0.00008
901240	cresco6x202	Wed  6 Dec 16:05:08 CET 2023	1701875108	140.00	100.00	9.00	0.00	0.00	0.00	0.00	18.00	40.00	33.00	23.00	41.00	6272.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8320.00000	8704.00000	6144.00000	6272.00000	221.69008		0.00004
901240	cresco6x202	Wed  6 Dec 16:05:06 CET 2023	1701875106	140.00	100.00	10.00	0.00	0.00	0.00	0.00	18.00	38.00	33.00	23.00	41.00	6272.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8320.00000	8704.00000	6144.00000	6272.00000	221.69004		0.00007
901240	cresco6x021	Wed  6 Dec 16:05:06 CET 2023	1701875106	200.00	110.00	14.00	0.00	0.00	0.00	0.00	17.00	37.00	34.00	28.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72948		0.00010
901240	cresco6x202	Wed  6 Dec 16:05:05 CET 2023	1701875105	240.00	190.00	12.00	0.00	0.00	0.00	0.00	18.00	38.00	33.00	23.00	41.00	6272.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8320.00000	8704.00000	6144.00000	6272.00000	221.68997		0.00007
