jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
879962	cresco6x186	Tue 21 Nov 22:30:02 CET 2023	1700602202	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15348		0.00007
879962	cresco6x184	Tue 21 Nov 22:30:02 CET 2023	1700602202	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33722		0.00004
879962	cresco6x184	Tue 21 Nov 22:30:01 CET 2023	1700602201	130.00	100.00	11.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33718		0.00004
879962	cresco6x186	Tue 21 Nov 22:30:01 CET 2023	1700602201	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15341		0.00008
879962	cresco6x114	Tue 21 Nov 22:30:01 CET 2023	1700602201	290.00	240.00	22.00	75.00	97.00	37.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43023		0.00000
879962	cresco6x186	Tue 21 Nov 22:30:00 CET 2023	1700602200	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15333		0.00007
879962	cresco6x114	Tue 21 Nov 22:30:00 CET 2023	1700602200	290.00	240.00	22.00	75.00	97.00	37.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43023		0.00017
879962	cresco6x184	Tue 21 Nov 22:30:00 CET 2023	1700602200	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33714		0.00004
879962	cresco6x186	Tue 21 Nov 22:29:59 CET 2023	1700602199	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15326		0.00007
879962	cresco6x114	Tue 21 Nov 22:29:59 CET 2023	1700602199	300.00	240.00	22.00	75.00	97.00	37.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43006		0.00009
879962	cresco6x184	Tue 21 Nov 22:29:59 CET 2023	1700602199	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33710		0.00004
