jobid,energy_from_delta_e,energy_from_subtraction,mean_sys_power,max_sys_power,energy_equal,error_code,runtime,matrix_size,precision,balanced,rank_assignment,number_of_nodes,total_proc,algorithm,mean_sys_power_from_delta_e
880028,0.175490,0.175490,901.448864,1000,True,0.000000,699.000000,26400.000000,double,n,f,3.000000,140.000000,IMeCO,903.811159
880029,0.012270,0.012270,711.587302,870,True,-99.000000,57.000000,26400.000000,double,n,f,3.000000,104.000000,SPK,774.947368
880030,0.229620,0.229620,1172.503536,1320,True,0.000000,700.000000,26400.000000,double,n,f,4.000000,180.000000,IMeCO,1180.902857
880031,0.012470,0.012470,735.161290,900,True,0.000000,55.000000,26400.000000,double,n,f,3.000000,108.000000,SPK,816.218182
880032,0.230270,0.230270,1176.133144,1290,True,0.000000,699.000000,26400.000000,double,n,f,4.000000,180.000000,IMeCO,1185.939914
880033,0.013270,0.013270,730.606061,900,True,-99.000000,60.000000,26400.000000,double,n,f,3.000000,108.000000,SPK,796.200000
880034,0.034950,0.034950,888.732394,1110,True,0.000000,136.000000,21120.000000,single,n,f,3.000000,144.000000,IMeCO,925.147059
880035,0.004490,0.004490,632.962963,1030,True,0.000000,21.000000,21120.000000,single,n,f,3.000000,144.000000,SPK,769.714286
880036,0.039340,0.039340,1047.279412,1250,True,0.000000,142.000000,21120.000000,single,n,f,4.000000,156.000000,IMeCO,997.352113
880037,0.005410,0.005410,718.214286,1140,True,0.000000,22.000000,21120.000000,single,n,f,4.000000,145.000000,SPK,885.272727
880038,0.038580,0.038580,1023.897059,1230,True,0.000000,129.000000,21120.000000,single,n,f,4.000000,156.000000,IMeCO,1076.651163
880039,0.005190,0.005190,713.703704,1110,True,-99.000000,22.000000,21120.000000,single,n,f,4.000000,145.000000,SPK,849.272727
880040,0.041550,0.041550,1062.056738,1280,True,0.000000,134.000000,21120.000000,single,n,f,4.000000,168.000000,IMeCO,1116.268657
880041,0.005140,0.005140,749.230769,1120,True,0.000000,20.000000,21120.000000,single,n,f,4.000000,146.000000,SPK,925.200000
880042,0.040340,0.040340,1058.768116,1260,True,0.000000,132.000000,21120.000000,single,n,f,4.000000,168.000000,IMeCO,1100.181818
880043,0.005670,0.005670,721.034483,1140,True,-99.000000,23.000000,21120.000000,single,n,f,4.000000,146.000000,SPK,887.478261
880044,0.042530,0.042530,1130.588235,1370,True,0.000000,130.000000,21120.000000,single,n,f,4.000000,192.000000,IMeCO,1177.753846
880045,0.005250,0.005250,762.692308,1130,True,0.000000,19.000000,21120.000000,single,n,f,4.000000,148.000000,SPK,994.736842
880046,0.042930,0.042930,1120.724638,1380,True,0.000000,131.000000,21120.000000,single,n,f,4.000000,192.000000,IMeCO,1179.755725
880047,0.005130,0.005130,760.400000,1150,True,-99.000000,19.000000,21120.000000,single,n,f,4.000000,148.000000,SPK,972.000000
880048,0.054140,0.054140,1434.117647,1740,True,0.000000,131.000000,21120.000000,single,n,f,5.000000,240.000000,IMeCO,1487.816794
880049,0.005480,0.005480,755.185185,1160,True,0.000000,21.000000,21120.000000,single,n,f,4.000000,152.000000,SPK,939.428571
880050,0.055900,0.055900,1442.857143,1750,True,0.000000,133.000000,21120.000000,single,n,f,5.000000,240.000000,IMeCO,1513.082707
880051,0.005750,0.005750,774.642857,1170,True,-99.000000,21.000000,21120.000000,single,n,f,4.000000,152.000000,SPK,985.714286
880052,0.065790,0.065790,875.925926,990,True,0.000000,263.000000,21120.000000,double,n,f,3.000000,144.000000,IMeCO,900.547529
880053,0.007020,0.007020,681.891892,1050,True,0.000000,31.000000,21120.000000,double,n,f,3.000000,144.000000,SPK,815.225806
880054,0.078540,0.078540,1037.564576,1200,True,0.000000,264.000000,21120.000000,double,n,f,4.000000,156.000000,IMeCO,1071.000000
880055,0.008310,0.008310,884.000000,1190,True,0.000000,29.000000,21120.000000,double,n,f,4.000000,145.000000,SPK,1031.586207
