ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     1   0   484     22      506     21120   11     2   2   -       -    N     -       1   7    IMeCOFT1_nf0_cp484_tnp506_ms21120_single_lbn_r1_W7_20231216_080311                                  
SPKft      single     1   0   484     1       485     21120   11     2   2   10560   24   N     -       1   7    SPKFT1_nf0_cp484_tnp485_ms21120_single_lbn_r1_W7_20231216_080311                                    
IMeCOft    single     1   1   484     22      506     21120   11     2   2   -       -    N     -       1   7    IMeCOFT1_nf1_cp484_tnp506_ms21120_single_lbn_r1_W7_20231216_080311                                  
SPKft      single     1   1   484     1       485     21120   11     2   2   10560   24   N     -       1   7    SPKFT1_nf1_cp484_tnp485_ms21120_single_lbn_r1_W7_20231216_080311                                    
IMeCOft    double     1   0   484     22      506     21120   11     2   2   -       -    N     -       1   7    IMeCOFT1_nf0_cp484_tnp506_ms21120_double_lbn_r1_W7_20231216_080311                                  
SPKft      double     1   0   484     1       485     21120   11     2   2   10560   24   N     -       1   7    SPKFT1_nf0_cp484_tnp485_ms21120_double_lbn_r1_W7_20231216_080312                                    
IMeCOft    double     1   1   484     22      506     21120   11     2   2   -       -    N     -       1   7    IMeCOFT1_nf1_cp484_tnp506_ms21120_double_lbn_r1_W7_20231216_080312                                  
SPKft      double     1   1   484     1       485     21120   11     2   2   10560   24   N     -       1   7    SPKFT1_nf1_cp484_tnp485_ms21120_double_lbn_r1_W7_20231216_080312                                    
IMeCOft    single     1   0   484     22      506     21120   11     2   2   -       -    Y     23      1   7    IMeCOFT1_nf0_cp484_tnp506_ms21120_single_lby_r1_W7_20231216_080312                                  
SPKft      single     1   0   484     1       485     21120   11     2   2   10560   24   Y     23      1   7    SPKFT1_nf0_cp484_tnp485_ms21120_single_lby_r1_W7_20231216_080312                                    
IMeCOft    single     1   1   484     22      506     21120   11     2   2   -       -    Y     23      1   7    IMeCOFT1_nf1_cp484_tnp506_ms21120_single_lby_r1_W7_20231216_080312                                  
SPKft      single     1   1   484     1       485     21120   11     2   2   10560   24   Y     23      1   7    SPKFT1_nf1_cp484_tnp485_ms21120_single_lby_r1_W7_20231216_080312                                    
IMeCOft    double     1   0   484     22      506     21120   11     2   2   -       -    Y     23      1   7    IMeCOFT1_nf0_cp484_tnp506_ms21120_double_lby_r1_W7_20231216_080312                                  
SPKft      double     1   0   484     1       485     21120   11     2   2   10560   24   Y     23      1   7    SPKFT1_nf0_cp484_tnp485_ms21120_double_lby_r1_W7_20231216_080313                                    
IMeCOft    double     1   1   484     22      506     21120   11     2   2   -       -    Y     23      1   7    IMeCOFT1_nf1_cp484_tnp506_ms21120_double_lby_r1_W7_20231216_080313                                  
SPKft      double     1   1   484     1       485     21120   11     2   2   10560   24   Y     23      1   7    SPKFT1_nf1_cp484_tnp485_ms21120_double_lby_r1_W7_20231216_080313                                    
IMeCO      single     -   -   484     0       484     21120   11     -   -   -       -    N     -       1   7    IMeCOFT0_cp484_tnp484_ms21120_single_lbn_r1_W7_20231216_080313                                      
SPK        single     -   -   484     0       484     21120   11     -   -   -       -    N     -       1   7    SPKFT0_cp484_tnp484_ms21120_single_lbn_r1_W7_20231216_080313                                        
IMeCO      double     -   -   484     0       484     21120   11     -   -   -       -    N     -       1   7    IMeCOFT0_cp484_tnp484_ms21120_double_lbn_r1_W7_20231216_080313                                      
SPK        double     -   -   484     0       484     21120   11     -   -   -       -    N     -       1   7    SPKFT0_cp484_tnp484_ms21120_double_lbn_r1_W7_20231216_080313                                        
IMeCO      single     -   -   484     0       484     21120   11     -   -   -       -    Y     22      1   7    IMeCOFT0_cp484_tnp484_ms21120_single_lby_r1_W7_20231216_080313                                      
SPK        single     -   -   484     0       484     21120   11     -   -   -       -    Y     22      1   7    SPKFT0_cp484_tnp484_ms21120_single_lby_r1_W7_20231216_080314                                        
IMeCO      double     -   -   484     0       484     21120   11     -   -   -       -    Y     22      1   7    IMeCOFT0_cp484_tnp484_ms21120_double_lby_r1_W7_20231216_080314                                      
SPK        double     -   -   484     0       484     21120   11     -   -   -       -    Y     22      1   7    SPKFT0_cp484_tnp484_ms21120_double_lby_r1_W7_20231216_080314                                        
